nomeSistema,class,jdeodorant,organic,jspirit
checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.TagParser.getNextCharPos,1,0,1
checkstyle,com.puppycrawl.tools.checkstyle.gui.CodeSelector.findLastPosition,1,1,0
checkstyle,com.puppycrawl.tools.checkstyle.checks.regexp.MultilineDetector.finish,1,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.regexp.SinglelineDetector.finish,1,1,1
checkstyle,com.puppycrawl.tools.checkstyle.api.Check.log,1,1,0
checkstyle,com.puppycrawl.tools.checkstyle.api.FullIdent.append,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheck.skipAnnotationOnlyLines,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.CheckUtils.getFirstNode,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.EqualsAvoidNullCheck.containsAllSafeTokens,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheck.checkIf,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.IllegalTypeCheck.checkClassName,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.MissingCtorCheck.MissingCtorCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.MissingSwitchDefaultCheck.MissingSwitchDefaultCheck,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.coding.MultipleVariableDeclarationsCheck.getLastNode,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.DeclarationCollector.visitToken,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.design.FinalClassCheck.visitToken,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.design.InterfaceIsTypeCheck.visitToken,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.imports.ImportControlLoader.startElement,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.imports.UnusedImportsCheck.finishTree,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.AssignHandler.suggestedChildLevel,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.ExpressionHandler.getFirstToken,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.ForHandler.checkForParams,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.LabelHandler.checkIndentation,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.MemberDefHandler.checkIdent,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.MemberDefHandler.checkType,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.MethodCallHandler.suggestedChildLevel,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.MethodDefHandler.checkIdent,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.MethodDefHandler.checkThrows,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.MethodDefHandler.checkType,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.NewHandler.getLevelImpl,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.SlistHandler.suggestedChildLevel,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.indentation.WhileHandler.checkCondExpr,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck.getMethodTags,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocStyleCheck.checkUnclosedTags,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.javadoc.TagParser.findChar,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.naming.ConstantNameCheck.mustCheckName,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.regexp.MultilineDetector.findMatch,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.regexp.SinglelineDetector.checkLine,0,1,1
checkstyle,com.puppycrawl.tools.checkstyle.checks.sizes.AnonInnerLengthCheck.visitToken,0,1,1
